Symbol,Sector,Combined_Score,Profit_Potential,Diversity_Score,Volatility,Market_Cap
4004.T,chemicals,30.35,51.31,1.19,0.4512,8594877104
4021.T,healthcare,12.97,11.34,1.45,0.2815,3743414781
2282.T,food,14.06,10.65,0.85,0.2259,2649707974
6770.T,manufacturing,16.66,20.55,1.09,0.3201,2544757553
9022.T,automotive,16.34,15.34,1.21,0.2309,10523717236
1893.T,realestate,14.93,15.51,0.97,0.2805,1989241727
8031.T,finance,16.47,20.58,1.21,0.3337,28936936569
3099.T,consumer,18.78,28.02,1.45,0.4513,10085418160
4324.T,telecom,15.52,19.05,1.21,0.3454,4272060692
9984.T,tech,23.65,38.15,1.73,0.4832,176316525728
9101.T,transport,7.74,3.59,1.33,0.3509,29028285717
5101.T,energy,17.39,23.10,1.57,0.3628,4024537145
4005.T,chemicals,20.19,27.53,1.09,0.3177,6380471591
4523.T,consumer,17.00,20.60,1.33,0.3072,7405682384
1803.T,energy,16.56,21.58,1.57,0.3674,7279261622
1605.T,energy,16.30,19.83,1.57,0.3285,19325577221
8058.T,finance,15.95,18.58,1.21,0.3077,46019699275
7261.T,automotive,15.90,22.07,1.32,0.4370,8591039194
7269.T,automotive,15.74,19.88,1.21,0.3581,16412511675
8035.T,tech,15.64,22.45,1.73,0.5026,108704402036
8002.T,finance,15.30,18.19,1.21,0.3322,19323081402
1332.T,energy,14.92,13.48,1.57,0.2495,1509862597
5020.T,energy,14.73,17.24,1.57,0.3447,13493444018
6504.T,manufacturing,14.49,19.11,1.19,0.4270,7794113582
1808.T,realestate,13.94,7.75,0.88,0.1941,2097483117
4188.T,chemicals,13.76,14.03,1.09,0.3015,5270943336
1963.T,realestate,13.58,15.64,0.97,0.3557,2245446939
8802.T,realestate,13.55,13.84,0.97,0.3054,16071058037
9020.T,automotive,13.22,8.45,1.21,0.2219,11416688384
5401.T,automotive,13.20,10.35,1.21,0.2512,17840023795
